dimension_value,year_1,year_2,year_3
ABROAD_FOREIGN_COMPANY,0.0102,0.0121,0.0189
ACADEMIC_RESEARCHER,0.0174,0.0119,0.0126
CONTRACTOR_CNPJ,0.1032,0.1049,0.1225
EMPLOYEE_CLT,0.6567,0.6809,0.6521
FREELANCER,0.011,0.0096,0.0106
INTERN,0.048,0.0391,0.0361
NOT_INFORMED,0.0026,0.0019,0.0052
PUBLIC_SERVANT,0.0423,0.0276,0.0352
REMOTE_FOREIGN_COMPANY_BR,0.02,0.0219,0.0403
STUDENT_GRAD,0.0091,0.0053,0.0063
STUDENT_UNDERGRAD,0.0268,0.0147,0.0097
UNEMPLOYED_NOT_SEEKING,0.003,0.0019,0.0029
UNEMPLOYED_SEEKING,0.0495,0.0682,0.0478
