current_role,respondent_count,median_salary_midpoint,salary_iqr,low_sample_flag
ANALYTICS_ENGINEER,135,14000.5,5500.0,False
DATA_ARCHITECT,28,14000.5,8000.0,True
DATA_PRODUCT_MANAGER,33,14000.5,11375.0,False
ML_ENGINEER,106,14000.5,14000.0,False
ACADEMIC,16,10000.5,10000.0,True
DATA_ENGINEER_OR_ARCHITECT,402,10000.5,11000.0,False
DATA_SCIENTIST,424,10000.5,4000.0,False
OTHER_ENGINEERING,26,10000.5,9000.0,True
SOFTWARE_ENGINEER_OR_IT_ANALYST,106,10000.5,7000.0,False
BI_ANALYST,215,7000.5,5000.0,False
BUSINESS_ANALYST,141,7000.5,5000.0,False
DATA_ANALYST,599,7000.5,5000.0,False
STATISTICIAN,9,5000.5,10500.0,True
SUPPORT_ANALYST,55,5000.5,7500.0,False
OTHER,206,3500.5,7500.0,False
