survey_year,gender,respondent_count,share_within_bucket,median_salary_midpoint
year_1,FEMALE,493,0.1863894139886578,7000.5
year_1,MALE,2144,0.810586011342155,7000.5
year_1,OTHER,8,0.0030245746691871,5000.5
year_2,FEMALE,1293,0.2442849045909692,7000.5
year_2,MALE,3975,0.7509918760627243,10000.5
year_2,NOT_INFORMED,16,0.0030228603816361,7000.5
year_2,OTHER,9,0.0017003589646703,7000.5
year_3,FEMALE,768,0.2197424892703862,10000.5
year_3,MALE,2707,0.7745350500715308,10000.5
year_3,NOT_INFORMED,13,0.0037195994277539,10000.5
year_3,OTHER,7,0.002002861230329,7000.5
