current_role,respondent_count,bucket_total,share_within_bucket
DATA_ANALYST,147,599,0.2454090150250417
DATA_SCIENTIST,95,424,0.2240566037735849
DATA_ENGINEER_OR_ARCHITECT,73,402,0.181592039800995
BI_ANALYST,49,215,0.227906976744186
OTHER,58,206,0.2815533980582524
BUSINESS_ANALYST,39,141,0.2765957446808511
ANALYTICS_ENGINEER,34,135,0.2518518518518518
ML_ENGINEER,16,106,0.1509433962264151
SOFTWARE_ENGINEER_OR_IT_ANALYST,22,106,0.2075471698113207
SUPPORT_ANALYST,8,55,0.1454545454545454
DATA_PRODUCT_MANAGER,14,33,0.4242424242424242
DATA_ARCHITECT,3,28,0.1071428571428571
OTHER_ENGINEERING,1,26,0.0384615384615384
ACADEMIC,6,16,0.375
STATISTICIAN,3,9,0.3333333333333333
