survey_year,metric,question_available,eligible_respondents,numerator,rate
year_1,enterprise_ai_priority_rate,False,0,,
year_1,personal_genai_no_use_rate,False,0,,
year_1,personal_genai_free_use_rate,False,0,,
year_1,personal_genai_self_paid_rate,False,0,,
year_1,personal_genai_company_paid_rate,False,0,,
year_1,personal_genai_copilot_rate,False,0,,
year_1,personal_genai_usage_rate,False,0,,
year_2,enterprise_ai_priority_rate,True,896,324.0,0.3616071428571428
year_2,personal_genai_no_use_rate,True,3772,744.0,0.1972428419936373
year_2,personal_genai_free_use_rate,True,3772,2401.0,0.6365323435843054
year_2,personal_genai_self_paid_rate,True,3772,261.0,0.0691940615058324
year_2,personal_genai_company_paid_rate,True,3772,240.0,0.0636267232237539
year_2,personal_genai_copilot_rate,True,3772,444.0,0.1177094379639448
year_2,personal_genai_usage_rate,True,3772,3028.0,0.8027571580063627
year_3,enterprise_ai_priority_rate,True,652,395.0,0.6058282208588958
year_3,personal_genai_no_use_rate,True,2106,44.0,0.0208926875593542
year_3,personal_genai_free_use_rate,True,2106,643.0,0.305318138651472
year_3,personal_genai_self_paid_rate,True,2106,567.0,0.2692307692307692
year_3,personal_genai_company_paid_rate,True,2106,892.0,0.4235517568850902
year_3,personal_genai_copilot_rate,True,2106,628.0,0.2981956315289649
year_3,personal_genai_usage_rate,True,2106,2062.0,0.9791073124406456
