survey_year,current_work_model,respondent_count,median_salary_midpoint,salary_iqr
year_1,HYBRID_FIXED,241,7000.5,5000.0
year_1,HYBRID_FLEXIBLE,461,10000.5,9000.0
year_1,ON_SITE,328,5000.5,4500.0
year_1,REMOTE,1335,7000.5,9000.0
year_2,HYBRID_FIXED,790,7000.5,9000.0
year_2,HYBRID_FLEXIBLE,972,10000.5,9000.0
year_2,ON_SITE,790,5000.5,6500.0
year_2,REMOTE,2201,10000.5,9000.0
year_3,HYBRID_FIXED,645,10000.5,7000.0
year_3,HYBRID_FLEXIBLE,631,10000.5,11000.0
year_3,ON_SITE,670,7000.5,6500.0
year_3,REMOTE,1282,10000.5,11000.0
