survey_year,region,respondent_count,salary_known_count,median_salary_midpoint,mean_salary_midpoint,salary_p25,salary_p75,salary_iqr,low_sample_flag
year_1,Centro-oeste,184,170,10000.5,10253.441176470587,5000.5,14000.5,9000.0,False
year_1,Exterior,53,35,14000.5,15829.07142857143,7000.5,22500.5,15500.0,False
year_1,Nordeste,301,228,5000.5,7211.026315789473,3500.5,10000.5,6500.0,False
year_1,Norte,36,24,6000.5,8063.0,3500.5,10000.5,6500.0,False
year_1,Sudeste,1671,1482,7000.5,9198.54318488529,5000.5,10000.5,5000.0,False
year_1,Sul,400,360,7000.5,8281.055555555555,5000.5,10000.5,5000.0,False
year_2,Centro-oeste,344,303,10000.5,10201.820132013201,5000.5,14000.5,9000.0,False
year_2,Nordeste,608,490,7000.5,7864.785714285715,3500.5,10000.5,6500.0,False
year_2,Norte,83,67,7000.5,8097.514925373134,5000.5,10000.5,5000.0,False
year_2,Sudeste,3173,2832,10000.5,10476.859463276836,5000.5,14000.5,9000.0,False
year_2,Sul,961,869,7000.5,9155.275604142693,5000.5,10000.5,5000.0,False
year_3,Centro-oeste,231,210,10000.5,11574.309523809523,5000.5,14000.5,9000.0,False
year_3,Nordeste,380,319,10000.5,9661.942006269592,5000.5,14000.5,9000.0,False
year_3,Norte,48,31,10000.5,11774.693548387097,5000.5,18000.5,13000.0,False
year_3,Sudeste,2171,1953,10000.5,12571.92857142857,7000.5,18000.5,11000.0,False
year_3,Sul,540,493,10000.5,11279.404665314401,5000.5,14000.5,9000.0,False
