survey_year,seniority,respondent_count,salary_known_count,median_salary_midpoint,mean_salary_midpoint,salary_p25,salary_p75,salary_iqr,low_sample_flag
year_1,JUNIOR,621,599,3500.5,3982.136060100167,2500.5,5000.5,2500.0,False
year_1,MID,658,654,7000.5,7531.081039755351,5000.5,10000.5,5000.0,False
year_1,SENIOR,578,568,10000.5,11915.992957746479,7000.5,14000.5,7000.0,False
year_2,JUNIOR,1046,1024,3500.5,3982.482421875,2500.5,5000.5,2500.0,False
year_2,MID,1392,1387,7000.5,7500.860490266763,5000.5,10000.5,5000.0,False
year_2,SENIOR,1419,1393,10000.5,13084.491385498923,10000.5,14000.5,4000.0,False
year_3,JUNIOR,518,501,3500.5,4276.947105788423,2500.5,5000.5,2500.0,False
year_3,MID,776,774,7000.5,8206.57235142119,5000.5,10000.5,5000.0,False
year_3,SENIOR,858,832,14000.5,13516.125,10000.5,18000.5,8000.0,False
year_3,SPECIALIST,349,325,18000.5,18185.115384615383,14000.5,22500.5,8500.0,False
