survey_year,current_work_model,respondent_count,salary_known_count,median_salary_midpoint,mean_salary_midpoint,salary_p25,salary_p75,salary_iqr,low_sample_flag
year_1,HYBRID_FIXED,241,228,7000.5,8857.956140350878,5000.5,10000.5,5000.0,False
year_1,HYBRID_FLEXIBLE,461,448,10000.5,10115.455357142857,5000.5,14000.5,9000.0,False
year_1,ON_SITE,328,324,5000.5,6133.216049382716,2500.5,7000.5,4500.0,False
year_1,REMOTE,1335,1299,7000.5,9399.268283294843,5000.5,14000.5,9000.0,False
year_2,HYBRID_FIXED,790,782,7000.5,9528.632992327366,5000.5,14000.5,9000.0,False
year_2,HYBRID_FLEXIBLE,972,950,10000.5,11354.71052631579,5000.5,14000.5,9000.0,False
year_2,ON_SITE,790,771,5000.5,6972.614137483787,3500.5,10000.5,6500.0,False
year_2,REMOTE,2201,2148,10000.5,10721.193668528864,5000.5,14000.5,9000.0,False
year_3,HYBRID_FIXED,645,628,10000.5,11979.003184713376,7000.5,14000.5,7000.0,False
year_3,HYBRID_FLEXIBLE,631,603,10000.5,13608.294361525705,7000.5,18000.5,11000.0,False
year_3,ON_SITE,670,640,7000.5,8415.34375,3500.5,10000.5,6500.0,False
year_3,REMOTE,1282,1220,10000.5,13412.795081967213,7000.5,18000.5,11000.0,False
