survey_year,gender,cross_dimension,cross_dimension_value,respondent_count,bucket_total,share_within_bucket,median_salary_midpoint,low_sample_flag
year_1,FEMALE,overall,ALL,493,2645,0.18638941398865785,7000.5,False
year_1,MALE,overall,ALL,2144,2645,0.810586011342155,7000.5,False
year_1,OTHER,overall,ALL,8,2645,0.0030245746691871457,5000.5,True
year_2,FEMALE,overall,ALL,1293,5293,0.24428490459096922,7000.5,False
year_2,MALE,overall,ALL,3975,5293,0.7509918760627243,10000.5,False
year_2,NOT_INFORMED,overall,ALL,16,5293,0.0030228603816361234,7000.5,True
year_2,OTHER,overall,ALL,9,5293,0.0017003589646703192,7000.5,True
year_3,FEMALE,overall,ALL,768,3495,0.21974248927038625,10000.5,False
year_3,MALE,overall,ALL,2707,3495,0.7745350500715308,10000.5,False
year_3,NOT_INFORMED,overall,ALL,13,3495,0.0037195994277539344,10000.5,True
year_3,OTHER,overall,ALL,7,3495,0.0020028612303290413,7000.5,True
year_1,FEMALE,seniority,JUNIOR,144,621,0.2318840579710145,3500.5,False
year_1,MALE,seniority,JUNIOR,474,621,0.7632850241545893,3500.5,False
year_1,OTHER,seniority,JUNIOR,3,621,0.004830917874396135,5000.5,True
year_1,FEMALE,seniority,MID,131,658,0.19908814589665655,7000.5,False
year_1,MALE,seniority,MID,525,658,0.7978723404255319,7000.5,False
year_1,OTHER,seniority,MID,2,658,0.00303951367781155,20000.5,True
year_1,FEMALE,seniority,SENIOR,94,578,0.16262975778546712,10000.5,False
year_1,MALE,seniority,SENIOR,484,578,0.8373702422145328,10000.5,False
year_2,FEMALE,seniority,JUNIOR,299,1046,0.2858508604206501,3500.5,False
year_2,MALE,seniority,JUNIOR,743,1046,0.7103250478011472,3500.5,False
year_2,NOT_INFORMED,seniority,JUNIOR,3,1046,0.0028680688336520078,7000.5,True
year_2,OTHER,seniority,JUNIOR,1,1046,0.0009560229445506692,1500.5,True
year_2,FEMALE,seniority,MID,337,1392,0.24209770114942528,7000.5,False
year_2,MALE,seniority,MID,1047,1392,0.7521551724137931,7000.5,False
year_2,NOT_INFORMED,seniority,MID,4,1392,0.0028735632183908046,6000.5,True
year_2,OTHER,seniority,MID,4,1392,0.0028735632183908046,6000.5,True
year_2,FEMALE,seniority,SENIOR,307,1419,0.21634954193093728,10000.5,False
year_2,MALE,seniority,SENIOR,1106,1419,0.7794221282593375,14000.5,False
year_2,NOT_INFORMED,seniority,SENIOR,4,1419,0.0028188865398167725,35000.5,True
year_2,OTHER,seniority,SENIOR,2,1419,0.0014094432699083862,8500.5,True
year_3,FEMALE,seniority,JUNIOR,146,518,0.28185328185328185,3500.5,False
year_3,MALE,seniority,JUNIOR,367,518,0.7084942084942085,3500.5,False
year_3,NOT_INFORMED,seniority,JUNIOR,3,518,0.005791505791505791,3500.5,True
year_3,OTHER,seniority,JUNIOR,2,518,0.003861003861003861,2000.5,True
year_3,FEMALE,seniority,MID,174,776,0.22422680412371135,7000.5,False
year_3,MALE,seniority,MID,599,776,0.7719072164948454,7000.5,False
year_3,NOT_INFORMED,seniority,MID,2,776,0.002577319587628866,7500.5,True
year_3,OTHER,seniority,MID,1,776,0.001288659793814433,5000.5,True
year_3,FEMALE,seniority,SENIOR,178,858,0.20745920745920746,10000.5,False
year_3,MALE,seniority,SENIOR,675,858,0.7867132867132867,14000.5,False
year_3,NOT_INFORMED,seniority,SENIOR,2,858,0.002331002331002331,22500.5,True
year_3,OTHER,seniority,SENIOR,3,858,0.0034965034965034965,10000.5,True
year_3,FEMALE,seniority,SPECIALIST,70,349,0.20057306590257878,14000.5,False
year_3,MALE,seniority,SPECIALIST,276,349,0.7908309455587392,18000.5,False
year_3,NOT_INFORMED,seniority,SPECIALIST,2,349,0.0057306590257879654,28750.5,True
year_3,OTHER,seniority,SPECIALIST,1,349,0.0028653295128939827,14000.5,True
year_1,FEMALE,current_role,ACADEMIC,4,12,0.3333333333333333,4250.5,True
year_1,MALE,current_role,ACADEMIC,8,12,0.6666666666666666,6000.5,True
year_1,FEMALE,current_role,BI_ANALYST_OR_ANALYTICS_ENGINEER,67,338,0.19822485207100593,5000.5,False
year_1,MALE,current_role,BI_ANALYST_OR_ANALYTICS_ENGINEER,271,338,0.8017751479289941,5000.5,False
year_1,FEMALE,current_role,BUSINESS_ANALYST,25,96,0.2604166666666667,5000.5,True
year_1,MALE,current_role,BUSINESS_ANALYST,71,96,0.7395833333333334,7000.5,False
year_1,FEMALE,current_role,DATA_ANALYST,83,324,0.25617283950617287,7000.5,False
year_1,MALE,current_role,DATA_ANALYST,241,324,0.7438271604938271,5000.5,False
year_1,MALE,current_role,DATA_ARCHITECT,9,9,1.0,14000.5,True
year_1,FEMALE,current_role,DATA_ENGINEER,40,300,0.13333333333333333,7000.5,False
year_1,MALE,current_role,DATA_ENGINEER,259,300,0.8633333333333333,7000.5,False
year_1,OTHER,current_role,DATA_ENGINEER,1,300,0.0033333333333333335,35000.5,True
year_1,FEMALE,current_role,DATA_PRODUCT_MANAGER,3,6,0.5,14000.5,True
year_1,MALE,current_role,DATA_PRODUCT_MANAGER,3,6,0.5,10000.5,True
year_1,FEMALE,current_role,DATA_SCIENTIST,68,357,0.19047619047619047,7000.5,False
year_1,MALE,current_role,DATA_SCIENTIST,289,357,0.8095238095238095,7000.5,False
year_1,FEMALE,current_role,DBA,1,14,0.07142857142857142,5000.5,True
year_1,MALE,current_role,DBA,13,14,0.9285714285714286,7000.5,True
year_1,FEMALE,current_role,IT_SYSTEMS_ANALYST,1,14,0.07142857142857142,5000.5,True
year_1,MALE,current_role,IT_SYSTEMS_ANALYST,13,14,0.9285714285714286,2500.5,True
year_1,FEMALE,current_role,MARKET_INTELLIGENCE_ANALYST,5,18,0.2777777777777778,7000.5,True
year_1,MALE,current_role,MARKET_INTELLIGENCE_ANALYST,13,18,0.7222222222222222,5000.5,True
year_1,FEMALE,current_role,ML_ENGINEER,9,48,0.1875,8500.5,True
year_1,MALE,current_role,ML_ENGINEER,39,48,0.8125,10000.5,False
year_1,FEMALE,current_role,OTHER,34,158,0.21518987341772153,5000.5,False
year_1,MALE,current_role,OTHER,123,158,0.7784810126582279,5000.5,False
year_1,OTHER,current_role,OTHER,1,158,0.006329113924050633,1500.5,True
year_1,FEMALE,current_role,OTHER_ENGINEERING,3,33,0.09090909090909091,7000.5,True
year_1,MALE,current_role,OTHER_ENGINEERING,29,33,0.8787878787878788,7000.5,True
year_1,OTHER,current_role,OTHER_ENGINEERING,1,33,0.030303030303030304,5000.5,True
year_1,FEMALE,current_role,SOFTWARE_ENGINEER,13,92,0.14130434782608695,5000.5,True
year_1,MALE,current_role,SOFTWARE_ENGINEER,77,92,0.8369565217391305,7000.5,False
year_1,OTHER,current_role,SOFTWARE_ENGINEER,2,92,0.021739130434782608,5000.5,True
year_1,FEMALE,current_role,STATISTICIAN,9,25,0.36,7000.5,True
year_1,MALE,current_role,STATISTICIAN,16,25,0.64,10000.5,True
year_1,FEMALE,current_role,SUPPORT_ANALYST,4,13,0.3076923076923077,3500.5,True
year_1,MALE,current_role,SUPPORT_ANALYST,9,13,0.6923076923076923,2500.5,True
year_2,FEMALE,current_role,ACADEMIC,5,28,0.17857142857142858,1500.5,True
year_2,MALE,current_role,ACADEMIC,23,28,0.8214285714285714,10000.5,True
year_2,FEMALE,current_role,ANALYTICS_ENGINEER,33,139,0.23741007194244604,7000.5,False
year_2,MALE,current_role,ANALYTICS_ENGINEER,105,139,0.7553956834532374,10000.5,False
year_2,OTHER,current_role,ANALYTICS_ENGINEER,1,139,0.007194244604316547,5000.5,True
year_2,FEMALE,current_role,BI_ANALYST,108,506,0.2134387351778656,5000.5,False
year_2,MALE,current_role,BI_ANALYST,397,506,0.7845849802371542,5000.5,False
year_2,OTHER,current_role,BI_ANALYST,1,506,0.001976284584980237,10000.5,True
year_2,FEMALE,current_role,BUSINESS_ANALYST,67,195,0.3435897435897436,7000.5,False
year_2,MALE,current_role,BUSINESS_ANALYST,128,195,0.6564102564102564,7000.5,False
year_2,FEMALE,current_role,DATA_ANALYST,259,907,0.2855567805953694,7000.5,False
year_2,MALE,current_role,DATA_ANALYST,645,907,0.7111356119073869,5000.5,False
year_2,NOT_INFORMED,current_role,DATA_ANALYST,1,907,0.0011025358324145535,7000.5,True
