technology,year_3_users,year_3_eligible_respondents,adoption_growth_pp,cross_role_prevalence,salary_association,senior_role_prevalence,normalized_adoption_growth_pp,normalized_cross_role_prevalence,normalized_salary_association,normalized_senior_role_prevalence,priority_score,future_interest_component,rank
Databricks,689,2096,20.372137404580148,1.0,0.0,0.6474291836565367,1.0,1.0,0.3333333333333333,0.42753914090726614,0.7564417086697296,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),1
S3,604,2096,9.043086996578051,0.9333333333333333,0.0,0.7498299105109818,0.47357859531772595,0.8333333333333334,0.3333333333333333,0.5286153773895074,0.5515176502263821,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),2
Amazon Aurora ou RDS,171,2096,1.1540866017373004,0.9333333333333333,0.39998000099995,0.8796058082239567,0.1070043000477782,0.8333333333333334,0.7777777777777778,0.6567127037451785,0.5494412049611103,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),3
SQLite,258,2096,7.406143063964199,1.0,0.0,0.5937072503419971,0.3975155279503105,1.0,0.3333333333333333,0.3745120677332452,0.5467757057908296,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),4
Redis,130,2096,2.32297973150829,0.8,0.39998000099995,1.2273914983111338,0.1613186813186811,0.5000000000000001,0.7777777777777778,1.0,0.5321679555012888,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),5
PostgreSQL,771,2096,6.989092524348512,0.9333333333333333,0.0,0.5585962559518244,0.3781366459627328,0.8333333333333334,0.3333333333333333,0.3398552124440028,0.4882436396171336,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),6
Google BigQuery,566,2096,8.684851276651761,0.8666666666666667,0.0,0.6524411486587367,0.456932632584807,0.6666666666666667,0.3333333333333333,0.43248627922712557,0.48365118332538254,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),7
DynamoDB,159,2096,2.1440675177678297,0.8,0.39998000099995,0.9486173422331993,0.15300525561395095,0.5000000000000001,0.7777777777777778,0.7248316160399659,0.4835354162730397,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),8
Amazon Athena,319,2096,4.0125690971308305,0.9333333333333333,0.0,0.7972745193269148,0.23982799808886787,0.8333333333333334,0.3333333333333333,0.5754463193934948,0.481405941484094,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),9
ElasticSearch,121,2096,-0.046064753882599924,0.8,0.39998000099995,1.1298280690462659,0.051237458193979776,0.5000000000000001,0.7777777777777778,0.9036984936404665,0.4794239633997994,NOT_MEASURED - no source question in any of the 3 surveys; weight redistributed to the other 4 components (see script docstring),10
