technology,survey_year,technology_users,eligible_respondents,adoption_rate,rank,yoy_pp_change_vs_prev_survey
SQL SERVER,year_1,628,1856,0.33836206896551724,1,
PostgreSQL,year_1,553,1856,0.2979525862068966,2,
MySQL,year_1,523,1856,0.2817887931034483,3,
S3,year_1,367,1856,0.19773706896551724,4,
Oracle,year_1,355,1856,0.19127155172413793,5,
Google BigQuery,year_1,340,1856,0.18318965517241378,6,
Databricks,year_1,232,1856,0.125,7,
Amazon Redshift,year_1,225,1856,0.12122844827586207,8,
MongoDB,year_1,216,1856,0.11637931034482758,9,
Amazon Athena,year_1,208,1856,0.11206896551724138,10,
Hive,year_1,163,1856,0.08782327586206896,11,
Amazon Aurora ou RDS,year_1,130,1856,0.07004310344827586,12,
ElasticSearch,year_1,108,1856,0.05818965517241379,13,
DynamoDB,year_1,101,1856,0.05441810344827586,14,
SQLite,year_1,91,1856,0.0490301724137931,15,
SAP,year_1,88,1856,0.04741379310344827,16,
SAP HANA,year_1,87,1856,0.046875,17,
Presto,year_1,84,1856,0.04525862068965517,18,
Microsoft Access,year_1,79,1856,0.04256465517241379,19,
Redis,year_1,72,1856,0.03879310344827586,20,
MariaDB,year_1,69,1856,0.037176724137931036,21,
Snowflake,year_1,64,1856,0.034482758620689655,22,
Firebase,year_1,63,1856,0.03394396551724138,23,
DB2,year_1,42,1856,0.022629310344827586,24,
HBase,year_1,34,1856,0.018318965517241378,25,
Cassandra,year_1,30,1856,0.016163793103448277,26,
Neo4J,year_1,27,1856,0.014547413793103448,27,
Google Firestore,year_1,26,1856,0.014008620689655173,28,
Splunk,year_1,19,1856,0.010237068965517241,29,
Firebird,year_1,16,1856,0.008620689655172414,30,
Sybase,year_1,15,1856,0.008081896551724138,31,
Datomic,year_1,5,1856,0.0026939655172413795,32,
CoachDB,year_1,2,1856,0.0010775862068965517,33,
Vertica,year_1,1,1856,0.0005387931034482759,34,
SQL SERVER,year_2,1209,3772,0.32051961823966063,1,-1.7842450725856607
PostgreSQL,year_2,1068,3772,0.2831389183457052,2,-1.481366786119137
Google BigQuery,year_2,983,3772,0.26060445387062564,3,7.741479869821186
MySQL,year_2,927,3772,0.24575821845174972,4,-3.6030574651698566
Databricks,year_2,807,3772,0.21394485683987274,5,8.894485683987273
S3,year_2,789,3772,0.2091728525980912,6,1.143578363257397
Oracle,year_2,686,3772,0.1818663838812301,7,-0.9405167842907819
Amazon Athena,year_2,451,3772,0.11956521739130435,8,0.749625187406297
