survey_year,dimension,dimension_value,respondent_count,respondent_share_within_year
year_1,seniority,JUNIOR,621,0.23478260869565218
year_1,seniority,MID,658,0.24877126654064272
year_1,seniority,SENIOR,578,0.21852551984877128
year_1,seniority,UNKNOWN,788,0.29792060491493383
year_2,seniority,JUNIOR,1046,0.19761949744946156
year_2,seniority,MID,1392,0.2629888532023427
year_2,seniority,SENIOR,1419,0.2680899300963537
year_2,seniority,UNKNOWN,1436,0.27130171925184204
year_3,seniority,JUNIOR,518,0.14821173104434907
year_3,seniority,MID,776,0.22203147353361946
year_3,seniority,SENIOR,858,0.24549356223175967
year_3,seniority,SPECIALIST,349,0.09985693848354793
year_3,seniority,UNKNOWN,994,0.2844062947067239
year_1,gender,FEMALE,493,0.18638941398865785
year_1,gender,MALE,2144,0.810586011342155
year_1,gender,OTHER,8,0.0030245746691871457
year_2,gender,FEMALE,1293,0.24428490459096922
year_2,gender,MALE,3975,0.7509918760627243
year_2,gender,NOT_INFORMED,16,0.0030228603816361234
year_2,gender,OTHER,9,0.0017003589646703192
year_3,gender,FEMALE,768,0.21974248927038625
year_3,gender,MALE,2707,0.7745350500715308
year_3,gender,NOT_INFORMED,13,0.0037195994277539344
year_3,gender,OTHER,7,0.0020028612303290413
year_1,current_work_model,HYBRID_FIXED,241,0.09111531190926277
year_1,current_work_model,HYBRID_FLEXIBLE,461,0.17429111531190927
year_1,current_work_model,ON_SITE,328,0.12400756143667296
year_1,current_work_model,REMOTE,1335,0.504725897920605
year_1,current_work_model,UNKNOWN,280,0.10586011342155009
year_2,current_work_model,HYBRID_FIXED,790,0.14925373134328357
year_2,current_work_model,HYBRID_FLEXIBLE,972,0.18363876818439448
year_2,current_work_model,ON_SITE,790,0.14925373134328357
year_2,current_work_model,REMOTE,2201,0.4158322312488192
year_2,current_work_model,UNKNOWN,540,0.10202153788021916
year_3,current_work_model,HYBRID_FIXED,645,0.18454935622317598
year_3,current_work_model,HYBRID_FLEXIBLE,631,0.1805436337625179
year_3,current_work_model,ON_SITE,670,0.1917024320457797
year_3,current_work_model,REMOTE,1282,0.36680972818311874
year_3,current_work_model,UNKNOWN,267,0.07639484978540773
year_1,region,Centro-oeste,184,0.06956521739130435
year_1,region,Exterior,53,0.02003780718336484
year_1,region,Nordeste,301,0.11379962192816635
year_1,region,Norte,36,0.013610586011342156
year_1,region,Sudeste,1671,0.631758034026465
year_1,region,Sul,400,0.15122873345935728
year_2,region,Centro-oeste,344,0.0665505900561037
year_2,region,Nordeste,608,0.11762429870381118
year_2,region,Norte,83,0.016057264461211068
year_2,region,Sudeste,3173,0.6138518088605146
year_2,region,Sul,961,0.18591603791835945
year_3,region,Centro-oeste,231,0.0685459940652819
year_3,region,Nordeste,380,0.11275964391691394
year_3,region,Norte,48,0.014243323442136498
year_3,region,Sudeste,2171,0.6442136498516321
year_3,region,Sul,540,0.16023738872403562
year_1,employment_status,ABROAD_FOREIGN_COMPANY,27,0.010207939508506616
year_1,employment_status,ACADEMIC_RESEARCHER,46,0.017391304347826087
year_1,employment_status,CONTRACTOR_CNPJ,273,0.10321361058601135
year_1,employment_status,EMPLOYEE_CLT,1737,0.6567107750472589
year_1,employment_status,FREELANCER,29,0.010964083175803403
year_1,employment_status,INTERN,127,0.04801512287334594
year_1,employment_status,NOT_INFORMED,7,0.0026465028355387526
year_1,employment_status,PUBLIC_SERVANT,112,0.04234404536862004
year_1,employment_status,REMOTE_FOREIGN_COMPANY_BR,53,0.02003780718336484
year_1,employment_status,STUDENT_GRAD,24,0.009073724007561436
year_1,employment_status,STUDENT_UNDERGRAD,71,0.026843100189035917
year_1,employment_status,UNEMPLOYED_NOT_SEEKING,8,0.0030245746691871457
year_1,employment_status,UNEMPLOYED_SEEKING,131,0.04952741020793951
year_2,employment_status,ABROAD_FOREIGN_COMPANY,64,0.012091441526544493
year_2,employment_status,ACADEMIC_RESEARCHER,63,0.011902512752692235
year_2,employment_status,CONTRACTOR_CNPJ,555,0.10485546948800302
year_2,employment_status,EMPLOYEE_CLT,3604,0.6808993009635368
year_2,employment_status,FREELANCER,51,0.009635367466465143
year_2,employment_status,INTERN,207,0.039108256187417346
year_2,employment_status,NOT_INFORMED,10,0.001889287738522577
year_2,employment_status,PUBLIC_SERVANT,146,0.027583600982429624
year_2,employment_status,REMOTE_FOREIGN_COMPANY_BR,116,0.021915737766861895
year_2,employment_status,STUDENT_GRAD,28,0.005290005667863216
year_2,employment_status,STUDENT_UNDERGRAD,78,0.0147364443604761
year_2,employment_status,UNEMPLOYED_NOT_SEEKING,10,0.001889287738522577
year_2,employment_status,UNEMPLOYED_SEEKING,361,0.06820328736066503
year_3,employment_status,ABROAD_FOREIGN_COMPANY,66,0.01888412017167382
year_3,employment_status,ACADEMIC_RESEARCHER,44,0.012589413447782546
year_3,employment_status,CONTRACTOR_CNPJ,428,0.12246065808297568
year_3,employment_status,EMPLOYEE_CLT,2279,0.6520743919885551
year_3,employment_status,FREELANCER,37,0.010586552217453506
year_3,employment_status,INTERN,126,0.036051502145922745
year_3,employment_status,NOT_INFORMED,18,0.005150214592274678
year_3,employment_status,PUBLIC_SERVANT,123,0.0351931330472103
year_3,employment_status,REMOTE_FOREIGN_COMPANY_BR,141,0.04034334763948498
year_3,employment_status,STUDENT_GRAD,22,0.006294706723891273
year_3,employment_status,STUDENT_UNDERGRAD,34,0.009728183118741058
year_3,employment_status,UNEMPLOYED_NOT_SEEKING,10,0.002861230329041488
year_3,employment_status,UNEMPLOYED_SEEKING,167,0.04778254649499285
