position,source_column,dtype,non_null_count,missing_percentage,unique_count
0,"""('P0', 'id')""",object,2645,0.0,2641
1,"""('P1_a ', 'Idade')""",float64,2617,1.058601134215501,37
2,"""('P1_a_a ', 'Faixa idade')""",object,2645,0.0,9
3,"""('P1_b ', 'Genero')""",object,2645,0.0,3
4,"""('P1_e ', 'Estado onde mora')""",object,2609,1.3610586011342156,21
5,"""('P1_e_a ', 'uf onde mora')""",object,2609,1.3610586011342156,21
6,"""('P1_e_b ', 'Regiao onde mora')""",object,2645,0.0,6
7,"""('P1_g_b ', 'Regiao de origem')""",object,484,81.70132325141776,5
8,"""('P1_g_c ', 'Mudou de Estado?')""",int64,2645,0.0,2
9,"""('P1_h ', 'Nivel de Ensino')""",object,2645,0.0,7
10,"""('P1_i ', 'Área de Formação')""",object,2581,2.4196597353497165,9
11,"""('P2_a ', 'Qual sua situação atual de trabalho?')""",object,2645,0.0,13
12,"""('P2_b ', 'Setor')""",object,2365,10.58601134215501,23
13,"""('P2_c ', 'Numero de Funcionarios')""",object,2365,10.58601134215501,8
14,"""('P2_d ', 'Gestor?')""",float64,2365,10.58601134215501,2
15,"""('P2_e ', 'Cargo como Gestor')""",object,508,80.79395085066162,4
16,"""('P2_f ', 'Cargo Atual')""",object,1857,29.792060491493384,21
17,"""('P2_g ', 'Nivel')""",object,1857,29.792060491493384,3
18,"""('P2_h ', 'Faixa salarial')""",object,2365,10.58601134215501,13
19,"""('P2_i ', 'Quanto tempo de experiência na área de dados você tem?')""",object,2365,10.58601134215501,7
20,"""('P2_j ', 'Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?')""",object,2365,10.58601134215501,7
21,"""('P2_k ', 'Você está satisfeito na sua empresa atual?')""",float64,2362,10.699432892249527,2
22,"""('P2_l ', 'Qual o principal motivo da sua insatisfação com a empresa atual?')""",object,612,76.86200378071834,138
23,"""('P2_l_a ', 'Falta de oportunidade de crescimento no emprego atual')""",float64,612,76.86200378071834,2
24,"""('P2_l_b ', 'Salário atual não corresponde ao mercado')""",float64,612,76.86200378071834,2
25,"""('P2_l_c ', 'Não tenho uma boa relação com meu líder/gestor')""",float64,612,76.86200378071834,2
26,"""('P2_l_d ', 'Gostaria de trabalhar em em outra área de atuação')""",float64,612,76.86200378071834,2
27,"""('P2_l_e ', 'Gostaria de receber mais benefícios')""",float64,612,76.86200378071834,2
28,"""('P2_l_f ', 'O clima de trabalho/ambiente não é bom')""",float64,612,76.86200378071834,2
29,"""('P2_l_g ', 'Falta de maturidade analítica na empresa')""",float64,612,76.86200378071834,2
30,"""('P2_m ', 'Você participou de entrevistas de emprego nos últimos 6 meses?')""",object,2362,10.699432892249527,4
31,"""('P2_n ', 'Você pretende mudar de emprego nos próximos 6 meses?')""",object,2365,10.58601134215501,4
32,"""('P2_o ', 'Quais os principais critérios que você leva em consideração no momento de decidir onde trabalhar?')""",object,2351,11.11531190926276,415
33,"""('P2_o_a ', 'Remuneração/Salário')""",float64,2360,10.775047258979207,2
34,"""('P2_o_b ', 'Benefícios')""",float64,2360,10.775047258979207,2
35,"""('P2_o_c ', 'Propósito do trabalho e da empresa')""",float64,2360,10.775047258979207,2
36,"""('P2_o_d ', 'Flexibilidade de trabalho remoto')""",float64,2360,10.775047258979207,2
37,"""('P2_o_e ', 'Ambiente e clima de trabalho')""",float64,2360,10.775047258979207,2
38,"""('P2_o_f ', 'Oportunidade de aprendizado e trabalhar com referências na área')""",float64,2360,10.775047258979207,2
39,"""('P2_o_g ', 'Plano de carreira e oportunidades de crescimento profissional')""",float64,2360,10.775047258979207,2
40,"""('P2_o_h ', 'Maturidade da empresa em termos de tecnologia e dados')""",float64,2360,10.775047258979207,2
