respondent_id,survey_year,technology,technology_family,selected
year_1_000482,year_1,MySQL,DATABASE,False
year_1_000483,year_1,MySQL,DATABASE,False
year_1_000484,year_1,MySQL,DATABASE,False
year_1_000485,year_1,MySQL,DATABASE,True
year_1_000486,year_1,MySQL,DATABASE,False
year_1_000487,year_1,MySQL,DATABASE,False
year_1_000488,year_1,MySQL,DATABASE,True
year_1_000489,year_1,MySQL,DATABASE,False
year_1_000490,year_1,MySQL,DATABASE,False
year_1_000491,year_1,MySQL,DATABASE,False
year_1_000492,year_1,MySQL,DATABASE,True
year_1_000493,year_1,MySQL,DATABASE,False
year_1_000494,year_1,MySQL,DATABASE,True
year_1_000495,year_1,MySQL,DATABASE,False
year_1_000496,year_1,MySQL,DATABASE,False
year_1_000497,year_1,MySQL,DATABASE,False
year_1_000498,year_1,MySQL,DATABASE,True
year_1_000499,year_1,MySQL,DATABASE,False
year_1_000500,year_1,MySQL,DATABASE,False
year_1_000501,year_1,MySQL,DATABASE,False
year_1_000502,year_1,MySQL,DATABASE,False
year_1_000503,year_1,MySQL,DATABASE,False
year_1_000504,year_1,MySQL,DATABASE,False
year_1_000505,year_1,MySQL,DATABASE,False
year_1_000506,year_1,MySQL,DATABASE,False
year_1_000507,year_1,MySQL,DATABASE,False
year_1_000508,year_1,MySQL,DATABASE,False
year_1_000509,year_1,MySQL,DATABASE,True
year_1_000510,year_1,MySQL,DATABASE,False
year_1_000511,year_1,MySQL,DATABASE,False
year_1_000512,year_1,MySQL,DATABASE,False
year_1_000513,year_1,MySQL,DATABASE,False
year_1_000514,year_1,MySQL,DATABASE,False
year_1_000515,year_1,MySQL,DATABASE,True
year_1_000516,year_1,MySQL,DATABASE,True
year_1_000517,year_1,MySQL,DATABASE,False
year_1_000518,year_1,MySQL,DATABASE,False
year_1_000519,year_1,MySQL,DATABASE,True
year_1_000520,year_1,MySQL,DATABASE,False
year_1_000521,year_1,MySQL,DATABASE,False
year_1_000522,year_1,MySQL,DATABASE,False
year_1_000523,year_1,MySQL,DATABASE,False
year_1_000524,year_1,MySQL,DATABASE,False
year_1_000525,year_1,MySQL,DATABASE,False
year_1_000526,year_1,MySQL,DATABASE,False
year_1_000528,year_1,MySQL,DATABASE,False
year_1_000529,year_1,MySQL,DATABASE,False
year_1_000530,year_1,MySQL,DATABASE,False
year_1_000531,year_1,MySQL,DATABASE,False
year_1_000532,year_1,MySQL,DATABASE,False
year_1_000533,year_1,MySQL,DATABASE,True
year_1_000534,year_1,MySQL,DATABASE,False
year_1_000535,year_1,MySQL,DATABASE,True
year_1_000536,year_1,MySQL,DATABASE,False
year_1_000537,year_1,MySQL,DATABASE,False
year_1_000538,year_1,MySQL,DATABASE,True
year_1_000539,year_1,MySQL,DATABASE,False
year_1_000540,year_1,MySQL,DATABASE,False
year_1_000541,year_1,MySQL,DATABASE,False
year_1_000542,year_1,MySQL,DATABASE,True
year_1_000543,year_1,MySQL,DATABASE,False
year_1_000544,year_1,MySQL,DATABASE,False
year_1_000545,year_1,MySQL,DATABASE,False
year_1_000546,year_1,MySQL,DATABASE,True
year_1_000547,year_1,MySQL,DATABASE,False
year_1_000548,year_1,MySQL,DATABASE,False
year_1_000549,year_1,MySQL,DATABASE,True
year_1_000550,year_1,MySQL,DATABASE,False
year_1_000551,year_1,MySQL,DATABASE,True
year_1_000552,year_1,MySQL,DATABASE,True
year_1_000553,year_1,MySQL,DATABASE,True
year_1_000554,year_1,MySQL,DATABASE,True
year_1_000555,year_1,MySQL,DATABASE,False
year_1_000556,year_1,MySQL,DATABASE,True
year_1_000557,year_1,MySQL,DATABASE,False
year_1_000558,year_1,MySQL,DATABASE,False
year_1_000559,year_1,MySQL,DATABASE,False
year_1_000560,year_1,MySQL,DATABASE,False
year_1_000561,year_1,MySQL,DATABASE,False
year_1_000562,year_1,MySQL,DATABASE,False
year_1_000563,year_1,MySQL,DATABASE,True
year_1_000564,year_1,MySQL,DATABASE,True
year_1_000565,year_1,MySQL,DATABASE,False
year_1_000566,year_1,MySQL,DATABASE,False
year_1_000567,year_1,MySQL,DATABASE,True
year_1_000568,year_1,MySQL,DATABASE,False
year_1_000569,year_1,MySQL,DATABASE,False
year_1_000570,year_1,MySQL,DATABASE,False
year_1_000571,year_1,MySQL,DATABASE,False
year_1_000572,year_1,MySQL,DATABASE,False
year_1_000573,year_1,MySQL,DATABASE,False
year_1_000575,year_1,MySQL,DATABASE,False
year_1_000576,year_1,MySQL,DATABASE,False
year_1_000577,year_1,MySQL,DATABASE,True
year_1_000578,year_1,MySQL,DATABASE,False
year_1_000579,year_1,MySQL,DATABASE,False
year_1_000580,year_1,MySQL,DATABASE,False
year_1_000581,year_1,MySQL,DATABASE,False
year_1_000582,year_1,MySQL,DATABASE,False
year_1_000583,year_1,MySQL,DATABASE,True
year_1_000584,year_1,MySQL,DATABASE,False
year_1_000585,year_1,MySQL,DATABASE,False
year_1_000586,year_1,MySQL,DATABASE,False
year_1_000587,year_1,MySQL,DATABASE,True
year_1_000588,year_1,MySQL,DATABASE,True
