respondent_id,survey_year,enterprise_ai_priority,genai_no_use,genai_free_personal,genai_paid_personal,genai_paid_by_company,genai_copilot,genai_question_available,genai_eligible
year_1_000000,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000001,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000002,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000003,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000004,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000005,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000006,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000007,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000008,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000009,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000010,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000011,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000012,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000013,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000014,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000015,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000016,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000017,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000018,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000019,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000020,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000021,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000022,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000023,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000024,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000025,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000026,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000027,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000028,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000029,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000030,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000031,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000032,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000033,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000034,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000035,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000036,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000037,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000038,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000039,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000040,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000041,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000042,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000043,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000044,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000045,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000046,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000047,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000048,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000049,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000050,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000051,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000052,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000053,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000054,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000055,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000056,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000057,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000058,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000059,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000060,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000061,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000062,year_1,NOT_AVAILABLE,,,,,,False,False
year_1_000063,year_1,NOT_AVAILABLE,,,,,,False,False
