survey_year,respondent_id,age_band,gender,ethnicity_raw,pcd_flag_raw,state,region,education_level,education_area,employment_status,sector,company_size_raw,manager_flag,current_role_raw,current_role,seniority,salary_band_raw,salary_lower_bound,salary_upper_bound,salary_midpoint,salary_open_ended,salary_anomaly_flag,data_experience_band,it_experience_band,current_work_model,ideal_work_model,rto_attitude_raw,source_file,ingestion_timestamp,pipeline_version,processing_timestamp
year_3,year_3_000000,35-39,MALE,Branca,Não,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,EMPLOYEE_CLT,Finanças ou Bancos,de 501 a 100,True,,UNKNOWN,UNKNOWN,de R$ 25.001/mês a R$ 3000/mês,25001.0,3000.0,,CLOSED,True,de 3 a 4 anos,de 5 a 6 anos,REMOTE,REMOTE,Vou procurar outra oportunidade no modelo híbrido ou remoto,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000001,17-21,MALE,Branca,Não,MG,Sudeste,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,STUDENT_UNDERGRAD,,,,,UNKNOWN,UNKNOWN,,,,,,False,,,UNKNOWN,UNKNOWN,,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000002,35-39,MALE,Branca,Não,RS,Sul,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,REMOTE_FOREIGN_COMPANY_BR,Tecnologia/Fábrica de Software,Acima de 3.000,False,Analista de Dados/Data Analyst,DATA_ANALYST,SENIOR,de R$ 20.001/mês a R$ 25.000/mês,20001.0,25000.0,22500.5,CLOSED,False,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,REMOTE,HYBRID_FLEXIBLE,Vou procurar outra oportunidade no modelo híbrido ou remoto,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000003,25-29,MALE,Parda,Não,RJ,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,EMPLOYEE_CLT,Seguros ou Previdência,de 501 a 1.000,False,Engenheiro de Dados/Data Engineer/Data Architect,DATA_ENGINEER_OR_ARCHITECT,SENIOR,de R$ 8.001/mês a R$ 12.000/mês,8001.0,12000.0,10000.5,CLOSED,False,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,REMOTE,REMOTE,Vou procurar outra oportunidade no modelo 100% remoto,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000004,17-21,MALE,Preta,Não,MG,Sudeste,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,STUDENT_UNDERGRAD,,,,,UNKNOWN,UNKNOWN,,,,,,False,,,UNKNOWN,UNKNOWN,,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000005,30-34,FEMALE,Branca,Não,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,EMPLOYEE_CLT,Finanças ou Bancos,Acima de 3.000,False,Analista de Suporte/Analista Técnico,SUPPORT_ANALYST,JUNIOR,de R$ 6.001/mês a R$ 8.000/mês,6001.0,8000.0,7000.5,CLOSED,False,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,HYBRID_FLEXIBLE,HYBRID_FLEXIBLE,Vou procurar outra oportunidade no modelo híbrido ou remoto,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000006,25-29,FEMALE,Amarela,Não,CE,Nordeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,EMPLOYEE_CLT,Tecnologia/Fábrica de Software,de 101 a 500,False,Cientista de Dados/Data Scientist,DATA_SCIENTIST,MID,de R$ 6.001/mês a R$ 8.000/mês,6001.0,8000.0,7000.5,CLOSED,False,de 1 a 2 anos,Menos de 1 ano,REMOTE,HYBRID_FLEXIBLE,Vou procurar outra oportunidade no modelo híbrido ou remoto,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000007,30-34,MALE,Preta,Prefiro não informar,RJ,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,EMPLOYEE_CLT,Entretenimento ou Esportes,de 101 a 500,False,Engenheiro de Dados/Data Engineer/Data Architect,DATA_ENGINEER_OR_ARCHITECT,JUNIOR,de R$ 6.001/mês a R$ 8.000/mês,6001.0,8000.0,7000.5,CLOSED,False,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,REMOTE,REMOTE,Vou procurar outra oportunidade no modelo 100% remoto,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000008,35-39,MALE,Parda,Não,MG,Sudeste,Estudante de Graduação,Ciência de Dados / Inteligência Artificial,EMPLOYEE_CLT,Agronegócios,de 501 a 1.000,False,Analista de BI/BI Analyst,BI_ANALYST,SENIOR,de R$ 3.001/mês a R$ 4.000/mês,3001.0,4000.0,3500.5,CLOSED,False,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,ON_SITE,HYBRID_FIXED,Vou aceitar e retornar ao modelo 100% presencial,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000009,25-29,MALE,Branca,Não,SP,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,EMPLOYEE_CLT,Finanças ou Bancos,de 501 a 1.000,True,,UNKNOWN,UNKNOWN,de R$ 30.001/mês a R$ 40.000/mês,30001.0,40000.0,35000.5,CLOSED,False,de 5 a 6 anos,Menos de 1 ano,REMOTE,REMOTE,Vou procurar outra oportunidade no modelo 100% remoto,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000010,25-29,MALE,Branca,Não,SP,Sudeste,Pós-graduação,Química / Física,REMOTE_FOREIGN_COMPANY_BR,Internet/Ecommerce,de 101 a 500,False,Cientista de Dados/Data Scientist,DATA_SCIENTIST,SENIOR,de R$ 25.001/mês a R$ 30.000/mês,25001.0,30000.0,27500.5,CLOSED,False,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,REMOTE,REMOTE,Vou procurar outra oportunidade no modelo 100% remoto,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000011,30-34,MALE,Branca,Sim,BA,Nordeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,EMPLOYEE_CLT,Setor de Energia,de 501 a 1.000,True,,UNKNOWN,UNKNOWN,de R$ 6.001/mês a R$ 8.000/mês,6001.0,8000.0,7000.5,CLOSED,False,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,HYBRID_FLEXIBLE,HYBRID_FLEXIBLE,Vou procurar outra oportunidade no modelo híbrido ou remoto,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000012,30-34,MALE,Branca,Não,SP,Sudeste,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),EMPLOYEE_CLT,Indústria,Acima de 3.000,True,,UNKNOWN,UNKNOWN,de R$ 16.001/mês a R$ 20.000/mês,16001.0,20000.0,18000.5,CLOSED,False,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,HYBRID_FLEXIBLE,HYBRID_FLEXIBLE,Vou procurar outra oportunidade no modelo híbrido ou remoto,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000013,30-34,FEMALE,Parda,Não,MG,Sudeste,Graduação/Bacharelado,Outra opção,CONTRACTOR_CNPJ,Agronegócios,de 51 a 100,False,Analista de BI/BI Analyst,BI_ANALYST,JUNIOR,de R$ 3.001/mês a R$ 4.000/mês,3001.0,4000.0,3500.5,CLOSED,False,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,REMOTE,REMOTE,Vou procurar outra oportunidade no modelo híbrido ou remoto,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000014,30-34,FEMALE,Branca,Não,RJ,Sudeste,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),EMPLOYEE_CLT,Área da Saúde,de 501 a 1.000,True,,UNKNOWN,UNKNOWN,de R$ 6.001/mês a R$ 8.000/mês,6001.0,8000.0,7000.5,CLOSED,False,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,HYBRID_FIXED,HYBRID_FIXED,Vou aceitar e retornar ao modelo 100% presencial,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000015,35-39,FEMALE,Branca,Não,SP,Sudeste,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),EMPLOYEE_CLT,Finanças ou Bancos,Acima de 3.000,True,,UNKNOWN,UNKNOWN,de R$ 16.001/mês a R$ 20.000/mês,16001.0,20000.0,18000.5,CLOSED,False,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,HYBRID_FIXED,HYBRID_FLEXIBLE,Vou aceitar e retornar ao modelo 100% presencial,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000016,40-44,FEMALE,Branca,Não,SP,Sudeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,EMPLOYEE_CLT,Entretenimento ou Esportes,de 101 a 500,False,Analista de Dados/Data Analyst,DATA_ANALYST,SPECIALIST,de R$ 12.001/mês a R$ 16.000/mês,12001.0,16000.0,14000.5,CLOSED,False,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,REMOTE,REMOTE,Vou procurar outra oportunidade no modelo híbrido ou remoto,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000017,30-34,FEMALE,Branca,Não,SC,Sul,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),EMPLOYEE_CLT,Varejo,Acima de 3.000,False,Engenheiro de Dados/Data Engineer/Data Architect,DATA_ENGINEER_OR_ARCHITECT,SENIOR,de R$ 8.001/mês a R$ 12.000/mês,8001.0,12000.0,10000.5,CLOSED,False,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,REMOTE,REMOTE,Vou procurar outra oportunidade no modelo 100% remoto,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000018,30-34,MALE,Branca,Não,MG,Sudeste,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo / Ciências Sociais,EMPLOYEE_CLT,Setor de Energia,Acima de 3.000,False,Outra Opção,OTHER,SENIOR,de R$ 8.001/mês a R$ 12.000/mês,8001.0,12000.0,10000.5,CLOSED,False,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,ON_SITE,HYBRID_FLEXIBLE,Vou aceitar e retornar ao modelo 100% presencial,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000019,30-34,FEMALE,Branca,Não,SP,Sudeste,Mestrado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,UNEMPLOYED_SEEKING,,,,,UNKNOWN,UNKNOWN,,,,,,False,,,UNKNOWN,UNKNOWN,,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000020,35-39,MALE,Branca,Não,SP,Sudeste,Mestrado,Outras Engenharias (não incluir engenharia de software ou TI),CONTRACTOR_CNPJ,Setor de Energia,de 6 a 10,True,,UNKNOWN,UNKNOWN,de R$ 8.001/mês a R$ 12.000/mês,8001.0,12000.0,10000.5,CLOSED,False,Menos de 1 ano,Menos de 1 ano,HYBRID_FIXED,HYBRID_FLEXIBLE,Vou procurar outra oportunidade no modelo híbrido ou remoto,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000021,25-29,MALE,Branca,Não,RS,Sul,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,EMPLOYEE_CLT,Finanças ou Bancos,Acima de 3.000,False,Analista de Dados/Data Analyst,DATA_ANALYST,SENIOR,de R$ 6.001/mês a R$ 8.000/mês,6001.0,8000.0,7000.5,CLOSED,False,de 7 a 10 anos,Menos de 1 ano,HYBRID_FLEXIBLE,HYBRID_FLEXIBLE,Vou procurar outra oportunidade no modelo híbrido ou remoto,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000022,35-39,OTHER,Branca,Sim,SP,Sudeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,EMPLOYEE_CLT,Educação,de 501 a 1.000,False,Analista de BI/BI Analyst,BI_ANALYST,SENIOR,de R$ 6.001/mês a R$ 8.000/mês,6001.0,8000.0,7000.5,CLOSED,False,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,HYBRID_FLEXIBLE,HYBRID_FLEXIBLE,Vou procurar outra oportunidade no modelo híbrido ou remoto,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000023,25-29,MALE,Branca,Não,RS,Sul,Pós-graduação,Outra opção,CONTRACTOR_CNPJ,Indústria,de 51 a 100,True,,UNKNOWN,UNKNOWN,de R$ 12.001/mês a R$ 16.000/mês,12001.0,16000.0,14000.5,CLOSED,False,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,ON_SITE,HYBRID_FLEXIBLE,Vou procurar outra oportunidade no modelo híbrido ou remoto,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000024,30-34,MALE,Parda,Não,RJ,Sudeste,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo / Ciências Sociais,EMPLOYEE_CLT,Setor Farmaceutico,Acima de 3.000,False,Analista de BI/BI Analyst,BI_ANALYST,SPECIALIST,de R$ 8.001/mês a R$ 12.000/mês,8001.0,12000.0,10000.5,CLOSED,False,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,REMOTE,HYBRID_FLEXIBLE,Vou procurar outra oportunidade no modelo 100% remoto,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000025,40-44,MALE,Branca,Não,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,EMPLOYEE_CLT,Área de Consultoria,de 101 a 500,False,Analista de BI/BI Analyst,BI_ANALYST,SENIOR,de R$ 12.001/mês a R$ 16.000/mês,12001.0,16000.0,14000.5,CLOSED,False,de 7 a 10 anos,de 7 a 10 anos,REMOTE,REMOTE,Vou procurar outra oportunidade no modelo híbrido ou remoto,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000026,25-29,MALE,Branca,Não,MG,Sudeste,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),EMPLOYEE_CLT,Tecnologia/Fábrica de Software,Acima de 3.000,False,Cientista de Dados/Data Scientist,DATA_SCIENTIST,SENIOR,de R$ 12.001/mês a R$ 16.000/mês,12001.0,16000.0,14000.5,CLOSED,False,de 5 a 6 anos,Menos de 1 ano,HYBRID_FLEXIBLE,HYBRID_FLEXIBLE,Vou procurar outra oportunidade no modelo híbrido ou remoto,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000027,35-39,MALE,Parda,Não,PB,Nordeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,EMPLOYEE_CLT,Tecnologia/Fábrica de Software,de 1.001 a 3.000,False,Analytics Engineer,ANALYTICS_ENGINEER,SENIOR,de R$ 12.001/mês a R$ 16.000/mês,12001.0,16000.0,14000.5,CLOSED,False,de 3 a 4 anos,Mais de 10 anos,REMOTE,REMOTE,Vou procurar outra oportunidade no modelo 100% remoto,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
year_3,year_3_000028,22-24,MALE,Branca,Não,SP,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,EMPLOYEE_CLT,Varejo,Acima de 3.000,False,Engenheiro de Dados/Data Engineer/Data Architect,DATA_ENGINEER_OR_ARCHITECT,JUNIOR,de R$ 6.001/mês a R$ 8.000/mês,6001.0,8000.0,7000.5,CLOSED,False,de 1 a 2 anos,Menos de 1 ano,REMOTE,REMOTE,Vou procurar outra oportunidade no modelo 100% remoto,data_2025-2026.csv,2026-09-02T21:57:26.272530+00:00,v1,2026-09-02T21:57:30.907264+00:00
