raw_label,canonical_technology,technology_family,mapping_version,notes
MySQL,MySQL,DATABASE,v1,
Oracle,Oracle,DATABASE,v1,
SQL SERVER,SQL SERVER,DATABASE,v1,
SAP,SAP,DATABASE,v1,"option only present in Year1 - dropped from the questionnaire from Year2 onward; NOT_COMPARABLE for adoption trend, report Year1-only if used"
Amazon Aurora ou RDS,Amazon Aurora ou RDS,DATABASE,v1,
Amazon DynamoDB,DynamoDB,DATABASE,v1,"Year1 label; Year2/Year3 use 'DynamoDB' without the Amazon prefix - same product, harmonized to DynamoDB"
CoachDB,CoachDB,DATABASE,v1,
Cassandra,Cassandra,DATABASE,v1,
MongoDB,MongoDB,DATABASE,v1,
MariaDB,MariaDB,DATABASE,v1,
Datomic,Datomic,DATABASE,v1,
S3,S3,DATABASE,v1,
PostgreSQL,PostgreSQL,DATABASE,v1,
ElasticSearch,ElasticSearch,DATABASE,v1,
DB2,DB2,DATABASE,v1,
Microsoft Access,Microsoft Access,DATABASE,v1,
SQLite,SQLite,DATABASE,v1,
Sybase,Sybase,DATABASE,v1,
Firebase,Firebase,DATABASE,v1,
Vertica,Vertica,DATABASE,v1,
Redis,Redis,DATABASE,v1,
Neo4J,Neo4J,DATABASE,v1,
Google BigQuery,Google BigQuery,DATABASE,v1,
Google Firestore,Google Firestore,DATABASE,v1,
Amazon Redshift,Amazon Redshift,DATABASE,v1,
Amazon Athena,Amazon Athena,DATABASE,v1,
Snowflake,Snowflake,DATABASE,v1,
Databricks,Databricks,DATABASE,v1,
HBase,HBase,DATABASE,v1,
Presto,Presto,DATABASE,v1,
Splunk,Splunk,DATABASE,v1,
SAP HANA,SAP HANA,DATABASE,v1,
Hive,Hive,DATABASE,v1,
Firebird,Firebird,DATABASE,v1,
DynamoDB,DynamoDB,DATABASE,v1,Year2/Year3 spelling
